osm_id,type,name,minlat,minlon,maxlat,maxlon,center_lat,center_lon,tags
253902738,node,Unknown,48.8077613,39.2809071,48.8077613,39.2809071,48.8077613,39.2809071,{'amenity': 'fuel'}
254899859,node,Вікав,48.2801121,25.9689291,48.2801121,25.9689291,48.2801121,25.9689291,"{'amenity': 'fuel', 'fuel:diesel': 'yes', 'fuel:octane_80': 'yes', 'fuel:octane_92': 'yes', 'fuel:octane_95': 'yes', 'name': 'Вікав', 'name:en': 'Vikav', 'name:uk': 'Вікав'}"
254901556,node,ANP,48.2426797,25.9674542,48.2426797,25.9674542,48.2426797,25.9674542,"{'amenity': 'fuel', 'brand': 'ANP', 'name': 'ANP', 'name:uk': 'ANP', 'operator': 'ANP'}"
256669242,node,БРСМ,50.5040388,30.4248383,50.5040388,30.4248383,50.5040388,30.4248383,"{'addr:housenumber': '39-А', 'addr:street': 'проспект Європейського Союзу', 'amenity': 'fuel', 'brand': 'БРСМ-Нафта', 'brand:wikidata': 'Q56356523', 'name': 'БРСМ', 'name:en': 'BRSM-Nafta', 'name:nl': 'BRSM-Nafta', 'name:uk': 'БРСМ', 'opening_hours': '00:00 - 23:30', 'operator': 'БРСМ-Нафта'}"
266644115,node,ТОВ Анкор,48.0165144,37.8322991,48.0165144,37.8322991,48.0165144,37.8322991,"{'amenity': 'fuel', 'name': 'ТОВ Анкор', 'name:ru': 'ООО Анкор', 'name:uk': 'ТОВ Анкор'}"
266728729,node,Unknown,47.9891999,37.8751361,47.9891999,37.8751361,47.9891999,37.8751361,{'amenity': 'fuel'}
266728876,node,ГП РТК,47.9932626,37.8715766,47.9932626,37.8715766,47.9932626,37.8715766,"{'amenity': 'fuel', 'fuel:lpg': 'yes', 'name': 'ГП РТК', 'name:uk': 'ГП РТК'}"
266893321,node,Grand Petrol,50.4877703,30.5091078,50.4877703,30.5091078,50.4877703,30.5091078,"{'amenity': 'fuel', 'name': 'Grand Petrol', 'name:en': 'Grand Petrol', 'operator': 'УкрАВТО'}"
274838884,node,ОККО,48.3207576,25.9460137,48.3207576,25.9460137,48.3207576,25.9460137,"{'amenity': 'fuel', 'brand': 'ОККО', 'brand:en': 'OKKO', 'brand:uk': 'ОККО', 'brand:wikidata': 'Q2045483', 'brand:wikipedia': 'en:OKKO', 'name': 'ОККО', 'name:en': 'OKKO', 'name:uk': 'ОККО', 'operator': 'Окко'}"
275071585,node,Укрнафта,48.3244728,25.9305486,48.3244728,25.9305486,48.3244728,25.9305486,"{'addr:housenumber': '46', 'addr:postcode': '58007', 'addr:street': 'вулиця Ярослава Мудрого', 'amenity': 'fuel', 'brand': 'Ukrnafta', 'brand:en': 'Ukrnafta', 'brand:uk': 'Укрнафта', 'brand:wikidata': 'Q2447961', 'brand:wikipedia': 'uk:Укрнафта', 'contact:email': 'hotline@ukrnafta.com', 'contact:facebook': 'https://www.facebook.com/Ukrnafta', 'contact:instagram': 'https://www.instagram.com/ukrnafta_azk', 'contact:linkedin': 'https://ua.linkedin.com/company/ukrnaftapeople', 'contact:phone:UA': '0 800 404 000', 'contact:tiktok': 'https://www.tiktok.com/@ukrnafta_people', 'contact:twitter': 'https://x.com/Ukrnafta_com', 'contact:website': 'https://azs.ukrnafta.com/', 'contact:youtube': 'https://www.youtube.com/@Ukrnafta_azk', 'fuel:adblue': 'yes', 'fuel:diesel': 'yes', 'fuel:lpg': 'yes', 'fuel:octane_92': 'yes', 'fuel:octane_95': 'yes', 'fuel:octane_98': 'yes', 'name': 'Укрнафта', 'name:en': 'Ukrnafta', 'name:uk': 'Укрнафта', 'name:uk-Latn': 'Ukrnafta', 'opening_hours': '24/7', 'operator': 'ПАТ Укрнафта', 'phone:UA': '0 800 404 000', 'ref': '24/024', 'toilets': 'yes'}"
